2023-04-07 02:52:46,743 INFO    MainThread:47888 [wandb_setup.py:_flush():76] Configure stats pid to 47888
2023-04-07 02:52:46,744 INFO    MainThread:47888 [wandb_setup.py:_flush():76] Loading settings from C:\Users\mural\.config\wandb\settings
2023-04-07 02:52:46,744 INFO    MainThread:47888 [wandb_setup.py:_flush():76] Loading settings from D:\Thesis\Domain Adaptation (Unsupervised DA through backpropagation)\wandb\settings
2023-04-07 02:52:46,744 INFO    MainThread:47888 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-07 02:52:46,744 INFO    MainThread:47888 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-07 02:52:46,744 INFO    MainThread:47888 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'D:\\Thesis\\Domain Adaptation (Unsupervised DA through backpropagation)\\main.py'}
2023-04-07 02:52:46,744 INFO    MainThread:47888 [wandb_init.py:_log_setup():506] Logging user logs to D:\Thesis\Domain Adaptation (Unsupervised DA through backpropagation)\wandb\run-20230407_025246-zyqgcb8g\logs\debug.log
2023-04-07 02:52:46,744 INFO    MainThread:47888 [wandb_init.py:_log_setup():507] Logging internal logs to D:\Thesis\Domain Adaptation (Unsupervised DA through backpropagation)\wandb\run-20230407_025246-zyqgcb8g\logs\debug-internal.log
2023-04-07 02:52:46,744 INFO    MainThread:47888 [wandb_init.py:init():546] calling init triggers
2023-04-07 02:52:46,744 INFO    MainThread:47888 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'trainDomain': 'finance', 'testDomain': 'medicine', 'trainSeqLength': 128, 'testSeqLength': 32, 'is_downsample': False}
2023-04-07 02:52:46,744 INFO    MainThread:47888 [wandb_init.py:init():602] starting backend
2023-04-07 02:52:46,744 INFO    MainThread:47888 [wandb_init.py:init():606] setting up manager
2023-04-07 02:52:46,746 INFO    MainThread:47888 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-07 02:52:46,748 INFO    MainThread:47888 [wandb_init.py:init():613] backend started and connected
2023-04-07 02:52:46,751 INFO    MainThread:47888 [wandb_init.py:init():701] updated telemetry
2023-04-07 02:52:46,752 INFO    MainThread:47888 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-07 02:52:47,298 INFO    MainThread:47888 [wandb_run.py:_on_init():2133] communicating current version
2023-04-07 02:52:47,508 INFO    MainThread:47888 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.14.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-07 02:52:47,509 INFO    MainThread:47888 [wandb_init.py:init():789] starting run threads in backend
2023-04-07 02:52:47,608 INFO    MainThread:47888 [wandb_run.py:_console_start():2114] atexit reg
2023-04-07 02:52:47,608 INFO    MainThread:47888 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-07 02:52:47,609 INFO    MainThread:47888 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-07 02:52:47,609 INFO    MainThread:47888 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-07 02:52:47,609 INFO    MainThread:47888 [wandb_init.py:init():831] run started, returning control to user process
2023-04-07 02:53:19,190 INFO    MainThread:47888 [wandb_config.py:__setitem__():152] config set learning_rate = 1e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000286384AA730>>
2023-04-07 02:53:19,190 INFO    MainThread:47888 [wandb_run.py:_config_callback():1251] config_cb learning_rate 1e-05 None
2023-04-07 02:53:19,191 INFO    MainThread:47888 [wandb_config.py:__setitem__():152] config set num_epochs = 3 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000286384AA730>>
2023-04-07 02:53:19,191 INFO    MainThread:47888 [wandb_run.py:_config_callback():1251] config_cb num_epochs 3 None
2023-04-07 02:53:19,191 INFO    MainThread:47888 [wandb_config.py:__setitem__():152] config set batch_size = 6 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000286384AA730>>
2023-04-07 02:53:19,191 INFO    MainThread:47888 [wandb_run.py:_config_callback():1251] config_cb batch_size 6 None
2023-04-07 02:53:19,191 INFO    MainThread:47888 [wandb_watch.py:watch():51] Watching
2023-04-07 02:55:31,105 WARNING MsgRouterThr:47888 [router.py:message_loop():77] message_loop has been closed
